# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun May 14 19:01:46 2023
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_gaiamag:     Gaia Magnitude
#
pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,st_spectype,st_teff,st_rad,st_mass,st_lum,st_logg,sy_dist,sy_gaiamag
11 Com b,11 Com,2,1,Radial Velocity,2007,326.03000000,1.290000,12.100,1.080,6165.60000,19.40000,Msini,19.100000,0.231000,,,0,G8 III,4742.00,19.00,2.70,2.243,2.31,93.1846000,4.4403800
11 UMi b,11 UMi,1,1,Radial Velocity,2009,516.21997000,1.530000,12.300,1.090,4684.81420,14.74000,Msini,13.800000,0.080000,,,0,K4 III,4213.00,29.79,2.78,2.430,1.93,125.3210000,4.5621600
14 And b,14 And,1,1,Radial Velocity,2008,185.84000000,0.830000,12.900,1.150,1525.50000,4.80000,Msini,3.900000,0.000000,,,0,K0 III,4813.00,11.00,2.20,1.763,2.63,75.4392000,4.9178100
14 Her b,14 Her,1,2,Radial Velocity,2002,1765.03890112,2.773069,12.600,1.120,2586.74645,8.13881,Mass,7.110000,0.372689,,,0,K0 V,5338.00,0.93,0.91,-0.153,4.45,17.9323000,6.3830000
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,798.50000000,1.660000,13.500,1.200,565.73740,1.78000,Msini,1.260000,0.680000,,,0,G3 V,5750.00,1.13,1.08,0.097,4.36,21.1397000,6.0642800
17 Sco b,17 Sco,1,1,Radial Velocity,2020,578.38000000,1.450000,12.900,1.150,1373.01872,4.32000,Msini,3.510000,0.060000,,,0,K3 III,4157.00,25.92,1.22,2.254,1.70,124.9530000,4.7542900
18 Del b,18 Del,2,1,Radial Velocity,2008,993.30000000,2.600000,12.500,1.110,3273.50000,10.30000,Msini,9.210000,0.080000,,,0,G6 III,4979.00,8.50,2.30,1.602,2.82,76.2220000,5.2747600
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,2008,,330.000000,18.647,1.664,3000.00000,8.00000,Mass,2.540000,,,1700,0,K7 V,4060.00,1.31,0.85,-0.370,4.00,139.1350000,12.0572000
24 Boo b,24 Boo,1,1,Radial Velocity,2018,30.35060000,0.190000,13.900,1.240,289.22530,0.91000,Msini,0.592000,0.042000,,,0,G3 IV,4893.00,10.64,0.99,1.774,2.42,95.9863000,5.3339000
24 Sex b,24 Sex,1,2,Radial Velocity,2010,452.80000000,1.333000,13.400,1.190,632.46000,1.99000,Msini,1.440000,0.090000,,,0,K0 IV,5098.00,4.90,1.54,1.164,3.50,72.0691000,6.2037400
